Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
CoCrFeNiAl,10.1016/j.msea.2015.07.052,,,,1907,,,
FeNiCoCrMn,10.1016/j.msea.2015.07.052,,,,1987,,,
Nb20Ni20Ti20Co20Zr20,10.1016/j.pnsc.2015.09.001,,,,,60,,
[CuMnNi]95Al5,10.1016/j.jallcom.2015.07.285,,,,330,,,
[CuMnNi]90Al10,10.1016/j.jallcom.2015.07.285,,,,515,,,
[CuMnNi]95Sn5,10.1016/j.jallcom.2015.07.285,,,,380,,,
[CuMnNi]90Sn10,10.1016/j.jallcom.2015.07.285,,,,620,,,
[CuMnNi]80Zn20,10.1016/j.jallcom.2015.07.285,,,,140,,,
[CuMnNi]75Zn25,10.1016/j.jallcom.2015.07.285,,,,215,,,
HfNbTaTiZr,10.1016/j.jallcom.2014.11.064,,,55,1073,,,
Al0.3HfNbTaTiZr,10.1016/j.jallcom.2014.11.064,,,63,1188,,,
Al0.5HfNbTaTiZr,10.1016/j.jallcom.2014.11.064,,,97,1302,,,
Al0.75HfNbTaTiZr,10.1016/j.jallcom.2014.11.064,,,102,1415,,,
AlHfNbTaTiZr,10.1016/j.jallcom.2014.11.064,,,103,1489,,,
CoCrFeNiNb0,10.1016/j.intermet.2015.01.004,FCC,,,147,,,
CoCrFeNiNb0.103,10.1016/j.intermet.2015.01.004,FCC + Laves,,,317,,,
CoCrFeNiNb0.155,10.1016/j.intermet.2015.01.004,FCC + Laves,,,321,,,
CoCrFeNiNb0.206,10.1016/j.intermet.2015.01.004,FCC + Laves,,,402,,,
CoCrFeNiNb0.309,10.1016/j.intermet.2015.01.004,FCC + Laves,,,478,,,
CoCrFeNiNb0.412,10.1016/j.intermet.2015.01.004,FCC + Laves,,,637,,,
Al0.5CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,,,,1880,,,
AlCoCrFeNi,10.1016/j.jallcom.2014.09.073,,,,1423,,,
AlCoCrFeNiTi0.5,10.1016/j.jallcom.2014.09.073,,,,2260,,,
AlCoCrFeNiTi0,10.1016/j.jallcom.2014.09.073,,,,1500,,,
CuCoFeNiCrTi0.5,10.1016/j.jallcom.2014.09.073,,,,700,,,
Cu48Zr48Al4,10.1016/j.jallcom.2014.09.073,,,,1200,,,
CuCoFeNiCrAlV,10.1016/j.jallcom.2014.09.073,,,,1469,,,
CuCoFeNiCrAl,10.1016/j.jallcom.2014.09.073,,,,1303,,,
NbMoTaW,10.1016/j.jallcom.2014.09.073,,,,1058,,,
FeCoNi(AlSi)0.3,10.1016/j.jallcom.2014.09.073,,,,938,,,
FeCoNi(AlSi)0.2,10.1016/j.jallcom.2014.09.073,,,,342,,,
AlCoCrFeNiTi0.3,10.1016/j.jallcom.2014.09.073,,,,1980,,,
CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A1,,,1309.9,,,
CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A2,,,1309.9,,,
CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,Ni3Ti_D024,,,1309.9,,,
Al0.25CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A1,,,1390.8,,,
Al0.25CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A2,,,1390.8,,,
Al0.25CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,H_L21,,,1390.8,,,
Al0.25CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,Ni3Ti_D024,,,1390.8,,,
Al0.5CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A1,,,1879.8,,,
Al0.5CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A2,,,1879.8,,,
Al0.5CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,B2,,,1879.8,,,
Al0.5CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,H_L21,,,1879.8,,,
Al0.75CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A2,,,1726.1,,,
Al0.75CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,B2,,,1726.1,,,
Al0.75CrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,H_L21,,,1726.1,,,
AlCrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,A2,,,1444.7,,,
AlCrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,B2,,,1444.7,,,
AlCrFeNiTi0.25,10.1016/j.jallcom.2014.09.073,H_L21,,,1444.7,,,
Ti20Zr20Hf20Cu20Ni20,10.1016/j.intermet.2015.06.015,HE-BMG,,,1920,,,
Zn20Ca20Sr20Yb20(Li0.55Mg0.45)20,10.1016/j.intermet.2015.06.015,HE-BMG,,,383,,,
Sr20Ca20Yb20Mg20Zn20,10.1016/j.intermet.2015.06.015,HE-BMG,,,382,,,
Sr20Ca20Yb20Mg20(Zn0.5Cu0.5)20,10.1016/j.intermet.2015.06.015,HE-BMG,,,423,,,
Ti20Zr20Cu20Ni20Be20,10.1016/j.intermet.2015.06.015,HE-BMG,,,2315,,,
Ti16.7Zr16.7Hf16.7Cu16.7Ni16.7Be16.7,10.1016/j.intermet.2015.06.015,HE-BMG,,,1943,,,
Fe25Co25Ni25Al25,10.1016/j.intermet.2015.06.015,FCC,,,967,,,
FeCoNi(AlSi)0.2,10.1016/j.intermet.2015.06.015,FCC,,,342,,,
Fe25Co25Ni25(B0.6Si0.4)25,10.1016/j.intermet.2015.06.015,HE-BMG,,,3239,,,
Fe25Co25Ni25(B0.7Si0.3)25,10.1016/j.intermet.2015.06.015,HE-BMG,,,3624,,,
Fe25Co25Ni25(B0.6Si0.4)25,10.1016/j.intermet.2015.06.015,,,,3239,,,
Fe25Co25Ni25(B0.7Si0.3)25,10.1016/j.intermet.2015.06.015,,,,3624,,,
AlNbTiV,10.1016/j.jallcom.2015.08.224,,5.5,,1000,110,,
AlCr0.5NbTiV,10.1016/j.jallcom.2015.08.224,,5.64,,1300,40,,
AlCrNbTiV,10.1016/j.jallcom.2015.08.224,,5.76,,1550,65,,
AlCr1.5NbTiV,10.1016/j.jallcom.2015.08.224,,5.86,,1700,75,,
Fe40Mn28Ni28Cr4,10.1016/j.matdes.2015.08.007,,,,,210,,
Fe40Mn28Ni20Cr12,10.1016/j.matdes.2015.08.007,,,,,245,,
Fe40Mn28Ni14Cr18,10.1016/j.matdes.2015.08.007,,,,,310,,
Al0.5CoCrCuFeNi,10.1016/j.actamat.2015.07.004,FCC-1 + FCC-2,,,1284,,,
TiZrNbV,10.1016/j.matdes.2015.06.072,,6.46,,1104,,,
TiZrNbVMo0.3,10.1016/j.matdes.2015.06.072,,6.69,,1289,,,
TiZrNbVMo0.5,10.1016/j.matdes.2015.06.072,,6.83,,1473,,,
TiZrNbVMo0.7,10.1016/j.matdes.2015.06.072,,6.96,,1706,,,
TiZrNbVMo1.0,10.1016/j.matdes.2015.06.072,,7.13,,1779,,,
TiZrNbVMo1.3,10.1016/j.matdes.2015.06.072,,7.29,,1496,,,
TiZrNbVMo1.5,10.1016/j.matdes.2015.06.072,,7.38,,1603,,,
TiZrNbVMo1.7,10.1016/j.matdes.2015.06.072,,7.48,,1645,,,
TiZrNbVMo2.0,10.1016/j.matdes.2015.06.072,,7.6,,1765,,,
TiZrNbV0.3,10.1016/j.matdes.2015.06.072,,6.51,,866,,,
TiZrNbV0.3Mo0.1,10.1016/j.matdes.2015.06.072,,6.6,,932,,,
TiZrNbV0.3Mo0.3,10.1016/j.matdes.2015.06.072,,6.77,,1312,,,
TiZrNbV0.3Mo0.5,10.1016/j.matdes.2015.06.072,,6.93,,1301,,,
TiZrNbV0.3Mo0.7,10.1016/j.matdes.2015.06.072,,7.07,,1436,,,
TiZrNbV0.3Mo1.0,10.1016/j.matdes.2015.06.072,,7.26,,1455,,,
TiZrNbV0.3Mo1.3,10.1016/j.matdes.2015.06.072,,7.43,,1603,,,
TiZrNbV0.3Mo1.5,10.1016/j.matdes.2015.06.072,,7.53,,1576,,,
AlCoCrFeNiTi0.5,10.1016/j.matdes.2015.06.072,,6.44,,2260,,,
AlCrFeCoNi,10.1016/j.matdes.2015.06.072,,6.72,,1251,,,
CrFeCoNiCuTi0.8,10.1016/j.matdes.2015.06.072,,7.58,,1042,,,
CrFeCoNiCuTi0.5,10.1016/j.matdes.2015.06.072,,7.82,,700,,,
CrFeCoNiCu,10.1016/j.matdes.2015.06.072,,8.33,,230,,,
AlCrFeCoNiCu,10.1016/j.matdes.2015.06.072,,7.07,,1303,,,
AlCrFeCoNiCuV,10.1016/j.matdes.2015.06.072,,6.92,,1469,,,
Cu0.25AlCoCrFeNiTi0.5,10.1016/j.matdes.2015.06.072,,6.54,,1994,,,
AlCoCrFeNiMo0.1,10.1016/j.matdes.2015.06.072,,6.45,,1804,,,
AlCoCrFeNiSi0.2,10.1016/j.matdes.2015.06.072,,6.92,,1265,,,
AlCoCrFeNiSi0.4,10.1016/j.matdes.2015.06.072,,6.22,,1481,,,
TaNbHfZrTi,10.1016/j.matdes.2015.06.072,,9.9,,929,,,
NbMoTaW,10.1016/j.matdes.2015.06.072,,13.64,,1058,,,
VNbMoTaW,10.1016/j.matdes.2015.06.072,,12.36,,1246,,,
NbCrMo0.5Ta0.5TiZr,10.1016/j.matdes.2015.06.072,,8,,1595,,,
CrNbTiZr,10.1016/j.matdes.2015.06.072,,6.64,,1260,,,
CrNbTiVZr,10.1016/j.matdes.2015.06.072,,6.56,,1289,,,
AlMo0.5NbTa0.5TiZr,10.1016/j.matdes.2015.06.072,,7.3,,2000,,,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.matdes.2015.06.072,,6.8,,1280,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.matdes.2015.06.072,,9,,1841,,,
Al0.3NbTaTi1.4Zr1.3,10.1016/j.matdes.2015.06.072,,8.1,,1965,,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1016/j.matdes.2015.06.072,,7.6,,1965,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.matdes.2015.06.072,,7.3,,2035,,,
Ni18.5Fe18.5Cr18.5Co26Mn18.5,10.1016/j.msea.2015.03.109,,,,,134,,
Ni14Fe20Cr26Co20Mn20,10.1016/j.msea.2015.03.109,,,,,162,,
NiFeCrCoMn,10.1016/j.msea.2015.03.109,,,,,135,,
NiFeCrCo,10.1016/j.msea.2015.03.109,,,,,197,,
Ni18.5Fe18.5Cr18.5Co26Mn18.5,10.1016/j.msea.2015.03.109,,,,586,,,
Ni14Fe20Cr26Co20Mn20,10.1016/j.msea.2015.03.109,,,,1153,,,
NiFeCrCoMn,10.1016/j.msea.2015.03.109,,,,660,,,
NiFeCrCo,10.1016/j.msea.2015.03.109,,,,540,,,
Fe70.04Mn28Al1.6Si0.28C0.08,10.1016/j.msea.2015.03.109,,,,325,,,
Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08,10.1016/j.msea.2015.03.109,,,,375.5,,,
Fe68.25Mn27Al4.1Si0.52Nb0.05C0.08,10.1016/j.msea.2015.03.109,,,,383,,,
Ti20Zr20Hf20Be20Cu20,10.1016/j.intermet.2015.02.011,,,,1889,,,
Ti16.7Zr16.7Hf16.7Be16.7Cu16.7Ni16.7,10.1016/j.intermet.2015.02.011,,,,1943,,,
Ti20Zr20Hf20Be20(Cu20),10.1016/j.matdes.2015.08.067,,,97.3,1889,,,
Ti20Zr20Hf20Be20(Cu17.5Ni2.5),10.1016/j.matdes.2015.08.067,,,101.3,1943,,,
Ti20Zr20Hf20Be20(Cu15Ni5),10.1016/j.matdes.2015.08.067,,,102.8,1992,,,
Ti20Zr20Hf20Be20(Cu12.5Ni7.5),10.1016/j.matdes.2015.08.067,,,106.3,2005,,,
Ti20Zr20Hf20Be20(Cu10Ni10),10.1016/j.matdes.2015.08.067,,,104.6,2019,,,
Ti20Zr20Hf20Be20(Cu7.5Ni12.5),10.1016/j.matdes.2015.08.067,,,104.9,2067,,,
Ti20Zr20Hf20Be20(Cu5Ni15),10.1016/j.matdes.2015.08.067,,,104,2088,,,
Ti20Zr20Hf20Be20(Cu2.5Ni17.5),10.1016/j.matdes.2015.08.067,,,105.6,2094,,,
Ti20Zr20Hf20Be20(Ni20),10.1016/j.matdes.2015.08.067,,,104.7,2142,,,
FeCoCrNiMo0.23,10.1016/j.actamat.2017.01.034,,,,378,,,
FeCoCrNiMo0.23,10.1016/j.actamat.2017.01.034,,,,350,,,
FeCoCrNi,10.1016/j.actamat.2017.01.034,,,,359,,,
FeCoCrNiMo0.2,10.1016/j.actamat.2017.01.034,,,,254.7,,,
FeNiCoCrMn,10.1016/j.actamat.2017.01.034,,,,165,,,
FeCoCrNi,10.1016/j.actamat.2017.01.034,,,,155,,,
FeCoCrMnNi,10.1016/j.actamat.2017.01.034,,,,265,,,
AlCoCrCuFeNi,10.1016/j.jallcom.2010.03.074,,,,1300,,,
AlCoCrCuFeNiMo0.2,10.1016/j.jallcom.2010.03.074,,,,1420,,,
AlCoCrCuFeNiMo0.4,10.1016/j.jallcom.2010.03.074,,,,1690,,,
AlCoCrCuFeNiMo0.6,10.1016/j.jallcom.2010.03.074,,,,1880,,,
AlCoCrCuFeNiMo0.8,10.1016/j.jallcom.2010.03.074,,,,1920,,,
AlCoCrCuFeNiMo,10.1016/j.jallcom.2010.03.074,,,,1750,,,
(TiZrNbCu)0.875Ni0.125,10.1016/j.jallcom.2016.11.179,,7.04,,89.6,,,
(TiZrNbCu)0.85Ni0.15,10.1016/j.jallcom.2016.11.179,,7.1,,93.7,,,
(TiZrNbCu)0.8Ni0.2,10.1016/j.jallcom.2016.11.179,,7.16,,98.2,,,
(TiZrNbCu)0.75Ni0.25,10.1016/j.jallcom.2016.11.179,,7.17,,103.8,,,
(TiZrNbCu)0.875Ni0.125,10.1016/j.jallcom.2016.11.179,,7.11,,116.7,,,
(TiZrNbCu)0.85Ni0.15,10.1016/j.jallcom.2016.11.179,,7.13,,119,,,
(TiZrNbCu)0.8Ni0.2,10.1016/j.jallcom.2016.11.179,,7.2,,123.8,,,
(TiZrNbCu)0.75Ni0.25,10.1016/j.jallcom.2016.11.179,,7.28,,128.6,,,
Al9CrFeNi,10.1016/j.msea.2016.11.019,,,,770,,,
Al10CrFeNi,10.1016/j.msea.2016.11.019,,,,843.2,,,
Al11CrFeNi,10.1016/j.msea.2016.11.019,,,,1044,,,
Al12CrFeNi,10.1016/j.msea.2016.11.019,,,,906.8,,,
Al13CrFeNi,10.1016/j.msea.2016.11.019,,,,1122.8,,,
CoCrFeMnNi,10.1016/j.cossms.2017.08.003,,,,,,,
Ti20Zr20Hf20Be20Cu20,10.1016/j.msea.2017.01.094,,,,1889,,,
Ti20Zr20Hf20Be20Cu10Ni10,10.1016/j.msea.2017.01.094,,,,2019,,,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,159,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,220,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,215,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,285,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,263,
Al0.3CoCrFeNi,10.1016/j.matdes.2017.02.072,,,,,,490,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,2032,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,,1774,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,1065,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,,975,,C
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,1345,,,C
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,,1423,,C
Nb30Mo30Hf20Co20 ,10.1016/j.mtla.2021.101225,,,,1180,,,C
Nb30Mo30Hf20Co20 ,10.1016/j.mtla.2021.101225,,,,,370,,C
Nb30Mo30Hf20Co20 ,10.1016/j.mtla.2021.101225,,,,1635,,,C
Nb30Mo30Hf20Co20 ,10.1016/j.mtla.2021.101225,,,,,485,,C
AlCoCrFeNi21,10.1016/j.jmrt.2024.03.207,BCC,,,540,,,T
AlCoCrFeNi21,10.1016/j.jmrt.2024.03.207,BCC,,,600,,,T
AlCoCrFeNi21,10.1016/j.jmrt.2024.03.207,BCC,,,675,,,T
Ti67Nb16Zr17,10.1016/j.jallcom.2022.168290,BCC,,,510,,,T
Ti59Nb14Zr15Al12,10.1016/j.jallcom.2022.168290,BCC,,,905,,,T
Ti58.3Nb13.9Zr14.8Al13,10.1016/j.jallcom.2022.168290,BCC,,,1160,,,T
Ti57.6Nb13.8Zr14.6Al14,10.1016/j.jallcom.2022.168290,BCC,,,1080,,,T
Ti53.6Nb12.8Zr13.6Al20,10.1016/j.jallcom.2022.168290,BCC,,,590,,,T
Zr45Ti31.5Nb13.5Al10,10.1016/j.jmst.2021.08.034,BCC,,,1012,,,T
Zr45Ti31.5Nb13.5Al10,10.1016/j.jmst.2021.08.034,BCC,,,1143,,,T
Zr40Ti28Nb12Al20,10.1016/j.jmst.2021.08.034,BCC,,,1512,,,T
 TiZrVNb,10.1016/j.msea.2023.145861,BCC,,,550,,,T
 Ti23.3Zr23.3V23.3Nb23.3Al6.67,10.1016/j.msea.2023.145861,BCC,,,700,,,T
 Ti21.875Zr21.875V21.875Nb21.875Al12.5,10.1016/j.msea.2023.145861,BCC,,,940,,,T
 Ti20.625Zr20.625V20.625Nb20.625Al17.5,10.1016/j.msea.2023.145861,BCC,,,1050,,,T
HfMoNbTaTi,10.1016/j.actamat.2022.118132,BCC,,,1400,,,C
HfMoNbTi,10.1016/j.actamat.2022.118132,BCC,,,1380,,,C
HfMoNbTaZr,10.1016/j.actamat.2022.118132,BCC,,,1550,,,C
HfMoTaTiZr,10.1016/j.actamat.2022.118132,BCC,,,1700,,,C
HfMoNbTiZr,10.1016/j.actamat.2022.118132,BCC,,,1420,,,C
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,764,,,T
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,750,,,T
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,763,,,T
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,749,,,T
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,751,,,T
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.msea.2024.146513,BCC,,,762,,,T
FeNiCrCo0.3Al0.7,10.1016/j.matdes.2013.04.061,BCC,,,2033,,,C
FeNiCrCoAl,10.1016/j.matdes.2013.04.061,BCC,,,1251,,,C
Al0.6CoNiFeTi0.4,10.1016/j.msea.2012.12.072,,,,2732,,,C
AlCoNiFeCrTi0.5,10.1016/j.msea.2012.12.072,,,,2260,,,C
AlCoNiFeCrNb0.5,10.1016/j.msea.2012.12.072,,,,2473,,,C
CuCoNiFeCrTi0.5,10.1016/j.msea.2012.12.072,,,,1042,,,C
AlCoNiFeCr,10.1016/j.msea.2012.12.072,,,,1251,,,C
AlCuCoFeNiCr,10.1016/j.msea.2012.12.072,,,,1303,,,C
AlCuCoFeNiCrTi,10.1016/j.msea.2012.12.072,,,,1234,,,C
AlCuCoFeNiCrMn,10.1016/j.msea.2012.12.072,,,,1005,,,C
AlCuCoFeNiCrV,10.1016/j.msea.2012.12.072,,,,1469,,,C
TiCrFeCoNiAl0.75Cu0.25,10.1016/j.msea.2012.12.072,,,,1900,,,C
AlCuCoFeNiCrMo0.6,10.1016/j.msea.2012.12.072,,,,1880,,,C
AlCoFeNiCrSi,10.1016/j.msea.2012.12.072,,,,2411,,,C
AlCoFeNiCrC0.4,10.1016/j.msea.2012.12.072,,,,1056,,,C
VNbMoTaW,10.1016/j.msea.2012.12.072,,,,1246,,,C
AlCoNiFeCrTi0.5Cu0.5,10.1016/j.msea.2012.12.072,,,,1984,,,C
CoFeNiCrAl0.6Ti0.4,10.1016/j.jallcom.2012.11.146,,,,2080,,,C
CoFeNiCrAlTi,10.1016/j.jallcom.2012.11.146,,,,1860,,,C
Co0.5FeNiCrTi0.5,10.1016/j.matdes.2012.08.048,,,,2650,,,C
CoFeNiCrAl,10.1016/j.matdes.2012.08.048,,,,1250,,,C
CoNiFeCrAlTi,10.1016/j.matdes.2012.08.048,,,,1860,,,C
CuCoFeNiCrTi0.5,10.1016/j.matdes.2012.08.048,,,,700,,,C
CuCoFeNiCrAl,10.1016/j.matdes.2012.08.048,,,,1030,,,C
CuCoFeNiCrAlTi,10.1016/j.matdes.2012.08.048,,,,1230,,,C
CuCoFeNiCrAlMn,10.1016/j.matdes.2012.08.048,,,,1000,,,C
CuCoFeNiCrAlV,10.1016/j.matdes.2012.08.048,,,,1470,,,C
Cu0.5CoCrFeNiAlTi0.5,10.1016/j.matdes.2012.08.048,,,,1980,,,C
CuCoFeNiCrAlMo0.4,10.1016/j.matdes.2012.08.048,,,,1690,,,C
CoFeNiCrAlSi0.6,10.1016/j.matdes.2012.08.048,,,,1830,,,C
CoFeNiCrAlC0.5,10.1016/j.matdes.2012.08.048,,,,1060,,,C
AlCoCrFeNi,10.1016/j.matdes.2013.12.048,BCC,,,1378.9,,,
AlCoCrFeNiV0.2,10.1016/j.matdes.2013.12.048,BCC,,,1492.4,,,
AlCoCrFeNiV0.5,10.1016/j.matdes.2013.12.048,BCC,,,1597.7,,,
AlCoCrFeNiV0.8,10.1016/j.matdes.2013.12.048,BCC,,,1695.8,,,
AlCoCrFeNiV1.0,10.1016/j.matdes.2013.12.048,BCC,,,1726.5,,,
FeCrNiCoAl0.7Cu0.5,10.1016/j.msea.2014.01.044,FCC,,,630,,,C
FeCrNiCoAl0.75Cu0.25,10.1016/j.msea.2014.01.044,FCC,,,859,,,C
FeCrNiCoAl0.7Cu0.5þ10 vol%TiC,10.1016/j.msea.2014.01.044,FCC,,,1290,,,C
FeCrNiCoAl0.75Cu0.25þ10 vol%TiC,10.1016/j.msea.2014.01.044,FCC,,,1637,,,C
CoCrCuFeNiTi0.5,10.1016/j.msea.2014.01.044,FCC,,,700,,,C
CoCrCuFeNiTi0.8,10.1016/j.msea.2014.01.044,FCC,,,1042,,,C
CoCrCuFeNiTi,10.1016/j.msea.2014.01.044,FCC,,,1272,,,C
AlCrFeCoNi,10.1016/j.msea.2014.01.044,FCC,,,1251,,,C
AlCrMnFeCoNiCuTiV,10.1016/j.msea.2014.01.044,FCC,,,1862,,,C
AlCrFeCoNiCu,10.1016/j.msea.2014.01.044,FCC,,,1303,,,C
AlCrFeCoNiCuMn,10.1016/j.msea.2014.01.044,FCC,,,1005,,,C
AlCrFeCoNiCuTi,10.1016/j.msea.2014.01.044,FCC,,,1234,,,C
AlCrFeCoNiCuV,10.1016/j.msea.2014.01.044,FCC,,,1469,,,C
Ti20Zr20Hf20Nb20V20,10.1016/j.ijrmhm.2014.07.009,BCC + u,,128,1170,,,
Ti20Zr20Hf20Nb20V20,10.1016/j.ijrmhm.2014.07.009,BCC + V2M,,128,,1157,,
Ti20Zr20Hf20Nb20Cr20,10.1016/j.ijrmhm.2014.07.009,BCC + L1 + L2,,112,1375,,,
Ti20Zr20Hf20Nb20Cr20,10.1016/j.ijrmhm.2014.07.009,BCC + L1 + L2,,112,,1328,,
Ti20Zr20Hf20Nb20Ta20 [3],10.1016/j.ijrmhm.2014.07.009,BCC,,,929,,,
W20Nb20Mo20Ta20 [4],10.1016/j.ijrmhm.2014.07.009,BCC,,,1058,,,
W20Nb20Mo20Ta20V20 [3],10.1016/j.ijrmhm.2014.07.009,BCC,,,1246,,,
Al0.6CoFeNi,10.1016/j.msea.2014.09.077,FCC,,,2200,,,C
CoCrFeNiAl0.3,10.1016/j.intermet.2014.05.018,FCC,,,275,,,T
CoCrFeNiAl0.3,10.1016/j.intermet.2014.05.018,FCC,,,185,,,T
CoCrFeNi,10.1016/j.jallcom.2013.12.210,FCC,,,140,,,T
CoCrFeNi,10.1016/j.jallcom.2013.12.210,FCC,,,130,,,T
CoCrFeNiMn,10.1016/j.jallcom.2013.12.210,FCC,,,215,,,T
CoCrFeNiMn,10.1016/j.jallcom.2013.12.210,FCC,,,162,,,T
CoCrFeNi,10.1016/j.jallcom.2013.12.210,FCC,,,190,,,C
CoCrFeNiV,10.1016/j.jallcom.2013.12.210,BCC + FCC,,,1435,,,C
CoCrFeNiMnV,10.1016/j.jallcom.2013.12.210,BCC + FCC,,,1660,,,C
Al0.25CoCrFeNi,10.1016/j.msea.2017.09.089,FCC,,,127,,,T
Al0.25CoCrFeNi,10.1016/j.msea.2017.09.089,FCC,,,691,,,T
Al0.25CoCrFeNi,10.1016/j.msea.2017.09.089,FCC,,,800,,,T
Al0.25CoCrFeNi,10.1016/j.msea.2017.09.089,FCC,,,991,,,T
Al0.25CoCrFeNi,10.1016/j.msea.2017.09.089,FCC,,,1280,,,T
CoCrFeNi,10.1016/j.jmst.2016.09.016,FCC,,,145,,,C
CoCrFeNb0.25Ni,10.1016/j.jmst.2016.09.016,FCC,,,423,,,C
CoCrFeNb0.45Ni,10.1016/j.jmst.2016.09.016,FCC,,,1474.9,,,C
CoCrFeNb0.5Ni,10.1016/j.jmst.2016.09.016,FCC,,,1414,,,C
CoCrFeMnNi,10.1016/j.msea.2017.09.026,FCC,,,484,,,T
CoCrFeMnNi,10.1016/j.msea.2017.09.026,FCC,,,650,,,T
Al0.3CoCrFeNi,10.1016/j.intermet.2016.12.016,FCC,,,167,,,T
FeCoNi,10.1016/j.intermet.2017.04.007,FCC,,,198.6,,,T
FeCoNiMn0.25Al0.25,10.1016/j.intermet.2017.04.007,FCC,,,331.4,,,T
FeCoNiMn0.5Al0.5,10.1016/j.intermet.2017.04.007,FCC,,,315.6,,,T
CoCrFeNi,10.1016/j.msea.2017.09.101,FCC,,,220,,,C
Al0.3CoCrFeNi,10.1016/j.msea.2017.09.101,FCC,,,300,,,C
Al0.5CoCrFeNi,10.1016/j.msea.2017.09.101,BCC + FCC,,,950,,,C
Al0.75CoCrFeNi,10.1016/j.msea.2017.09.101,BCC + FCC,,,1400,,,C
AlCoCrFeNi,10.1016/j.msea.2017.09.101,BCC,,,1300,,,C
AlCoCrFeNi2.0,10.1016/j.actamat.2016.11.016,FCC + B2,,,545.6,,,T
AlCoCrFeNi2.1,10.1016/j.actamat.2016.11.016,FCC + B2,,,546.4,,,T
AlCoCrFeNi2.2,10.1016/j.actamat.2016.11.016,FCC + B2,,,544.5,,,T
Cr15Fe20Co35Ni20Mo10,10.1016/j.scriptamat.2017.05.019,FCC,,,,879,,T
Cr15Fe20Co35Ni20Mo10,10.1016/j.scriptamat.2017.05.019,FCC,,,,799,,T
Ni1.5Co1.5CrFeTi0.5,10.1016/j.matdes.2017.01.036,FCC,7.79,209,1308,,,T
AlCoCrCuFeNi,10.1016/j.msea.2017.02.072,BCC + FCC,,,1370,,,C
AlCoCrCuFeNi,10.1016/j.msea.2017.02.072,BCC + FCC,,,1490,,,C
Al0.1CoCrCuFeNi,10.1016/j.wear.2017.01.020,FCC,7.45,186,160,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,240,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,670,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,810,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,980,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,810,,,T
